"Time [s]","Resistance.P3 []"
0,7.30249896116359
0.0001,7.30249896116359
0.0002,7.30249896116359
0.0003,7.30249896116359
0.0004,7.30249896116359
0.0005,7.30249896116359
0.0006,7.30249896116359
0.0007,7.30249896116359
0.0008,7.30249896116359
0.0009,7.30249896116359
0.001,7.30249896116359
0.0011,7.30249896116359
0.0012,7.30249896116359
0.0013,7.30249896116359
0.0014,7.30249896116359
0.0015,7.30249896116359
0.0016,7.30249896116359
0.0017,7.30249896116359
0.0018,7.30249896116359
0.0019,7.30249896116359
0.002,7.30249896116359
0.0021,7.30249896116359
0.0022,7.30249896116359
0.0023,7.30249896116359
0.0024,7.30249896116359
0.0025,7.30249896116359
0.0026,7.30249896116359
0.0027,7.30249896116359
0.0028,7.30249896116359
0.0029,7.30249896116359
0.003,7.30249896116359
0.0031,7.30249896116359
0.0032,7.30249896116359
0.0033,7.30249896116359
0.0034,7.30249896116359
0.0035,7.30249896116359
0.0036,7.30249896116359
0.0037,7.30249896116359
0.0038,7.30249896116359
0.0039,7.30249896116359
0.004,7.30249896116359
0.0041,7.30249896116359
0.0042,7.30249896116359
0.0043,7.30249896116359
0.0044,7.30249896116359
0.0045,7.30249896116359
0.0046,7.30249896116359
0.0047,7.30249896116359
0.0048,7.30249896116359
0.0049,7.30249896116359
0.005,7.30249896116359
0.0051,7.30249896116359
0.0052,7.30249896116359
0.0053,7.30249896116359
0.0054,7.30249896116359
0.0055,7.30249896116359
0.0056,7.30249896116359
0.0057,7.30249896116359
0.0058,7.30249896116359
0.0059,7.30249896116359
0.006,7.30249896116359
0.0061,7.30249896116359
0.0062,7.30249896116359
0.0063,7.30249896116359
0.0064,7.30249896116359
0.0065,7.30249896116359
0.0066,7.30249896116359
0.0067,7.30249896116359
0.0068,7.30249896116359
0.00690000000000001,7.30249896116359
0.00700000000000001,7.30249896116359
0.00710000000000001,7.30249896116359
0.00720000000000001,7.30249896116359
0.00730000000000001,7.30249896116359
0.00740000000000001,7.30249896116359
0.00750000000000001,7.30249896116359
0.00760000000000001,7.30249896116359
0.00770000000000001,7.30249896116359
0.00780000000000001,7.30249896116359
0.00790000000000001,7.30249896116359
0.00800000000000001,7.30249896116359
0.00810000000000001,7.30249896116359
0.00820000000000001,7.30249896116359
0.00830000000000001,7.30249896116359
0.0084,7.30249896116359
0.0085,7.30249896116359
0.0086,7.30249896116359
0.0087,7.30249896116359
0.0088,7.30249896116359
0.0089,7.30249896116359
0.009,7.30249896116359
0.0091,7.30249896116359
0.0092,7.30249896116359
0.0093,7.30249896116359
0.0094,7.30249896116359
0.0095,7.30249896116359
0.0096,7.30249896116359
0.0097,7.30249896116359
0.0098,7.30249896116359
0.0099,7.30249896116359
0.01,7.30249896116359
0.0101,7.30249896116359
0.0102,7.30249896116359
0.0103,7.30249896116359
0.0104,7.30249896116359
0.0105,7.30249896116359
0.0106,7.30249896116359
0.0107,7.30249896116359
0.0108,7.30249896116359
0.0109,7.30249896116359
0.011,7.30249896116359
0.0111,7.30249896116359
0.0112,7.30249896116359
0.0113,7.30249896116359
0.0114,7.30249896116359
0.0115,7.30249896116359
0.0116,7.30249896116359
0.0117,7.30249896116359
0.0118,7.30249896116359
0.0119,7.30249896116359
0.012,7.30249896116359
0.0121,7.30249896116359
0.0122,7.30249896116359
0.0123,7.30249896116359
0.0124,7.30249896116359
0.0125,7.30249896116359
0.0126,7.30249896116359
0.0127,7.30249896116359
0.0128,7.30249896116359
0.0129,7.30249896116359
0.013,7.30249896116359
0.0131,7.30249896116359
0.0132,7.30249896116359
0.0133,7.30249896116359
0.0134,7.30249896116359
0.0135,7.30249896116359
0.0136,7.30249896116359
0.0137,7.30249896116359
0.0138,7.30249896116359
0.0139,7.30249896116359
0.014,7.30249896116359
0.0141,7.30249896116359
0.0142,7.30249896116359
0.0143,7.30249896116359
0.0144,7.30249896116359
0.0145,7.30249896116359
0.0146,7.30249896116359
0.0147,7.30249896116359
0.0148,7.30249896116359
0.0149,7.30249896116359
0.015,7.30249896116359
0.0151,7.30249896116359
0.0152,7.30249896116359
0.0153,7.30249896116359
0.0154,7.30249896116359
0.0155,7.30249896116359
0.0156,7.30249896116359
0.0157,7.30249896116359
0.0158,7.30249896116359
0.0159,7.30249896116359
0.016,7.30249896116359
0.0161,7.30249896116359
0.0162,7.30249896116359
0.0163,7.30249896116359
0.0164,7.30249896116359
0.0165,7.30249896116359
0.0166,7.30249896116359
0.0167,7.30249896116359
0.0168,7.30249896116359
0.0169,7.30249896116359
0.017,7.30249896116359
0.0171,7.30249896116359
0.0172,7.30249896116359
0.0173,7.30249896116359
0.0174,7.30249896116359
0.0174999999999999,7.30249896116359
0.0175999999999999,7.30249896116359
0.0176999999999999,7.30249896116359
0.0177999999999999,7.30249896116359
0.0178999999999999,7.30249896116359
0.0179999999999999,7.30249896116359
0.0180999999999999,7.30249896116359
0.0181999999999999,7.30249896116359
0.0182999999999999,7.30249896116359
0.0183999999999999,7.30249896116359
0.0184999999999999,7.30249896116359
0.0185999999999999,7.30249896116359
0.0186999999999999,7.30249896116359
0.0187999999999999,7.30249896116359
0.0188999999999999,7.30249896116359
0.0189999999999999,7.30249896116359
0.0190999999999999,7.30249896116359
0.0191999999999999,7.30249896116359
0.0192999999999999,7.30249896116359
0.0193999999999999,7.30249896116359
0.0194999999999999,7.30249896116359
0.0195999999999999,7.30249896116359
0.0196999999999999,7.30249896116359
0.0197999999999999,7.30249896116359
0.0198999999999999,7.30249896116359
0.0199999999999999,7.30249896116359
0.0200999999999999,7.30249896116359
